## "Objects"

## "Assigned to"
pl "przydzia³:"
en "assigned to"
de "zugewiesen zu"

## "Audio Options"
pl "Opcje dŸwiêkowe"
en "Audio options"
de "Audiooptionen"

## "Auflegen"
pl "Wystêpuj"
en "Perform"
de "Auflegen"

## "Aufm."
pl "Czuj."
en "Aler."
de "Aufm."

## "Aufmerksamkeit"
pl "Czujnoœæ"
en "Alertness"
de "Aufmerksamkeit"

## "Aufzug"
pl "Winda"
en "Lift"
de "Aufzug"

## "Aufzugkabine"
pl "Kabina windy"
en "Elevator car"
de "Aufzugkabine"

## "Automatic schedule"
pl "Automatyczne ustawianie czasu pracy"
en "Automatic scheduling"
de "Automatische Planung"

## "Axt"
pl "Topór"
en "Mace"
de "Axt"

## "Axt_1"
pl "Ma³y topór bojowy"
en "smal Axe"
de "Kleine Streitaxt"

## "Axt_2"
pl "Topór dwurêczny"
en "Battle axe"
de "Streitaxt"

## "Axt_3"
pl "Du¿y topór bojowy"
en "big Axe"
de "Grosse Streitaxt"

## "Axt_4"
pl "Topór katowski"
en "Henkerschreck"
de "Henkerschreck"

## "Axt_unq_1"
pl "Szmaragdowy topór"
en "Smaragdaxe"
de "Smaragdaxt"

## "Axt_unq_2"
pl "Usypiacz"
en "Tutnichweh"
de "Tutnichweh"

## "Axt_unq_3"
pl "Rêbacz"
en "Haudrauf"
de "Haudrauf"

## "Axt_unq_4"
pl "Smocza Zguba"
en "Drachenspalter"
de "Drachenspalter"

## "Baby"
pl "Dziecko"
en "Baby"
de "Baby"

## "Back"
pl "Powrót"
en "Back"
de "Zurück"

## "Ballist."
pl "Balist."
en "Ballist."
de "Ballist."

## "Bar"
pl "Bar"
en "Bar"
de "Bar"

## "Barbetrieb"
pl "Bar"
en "Bar service"
de "Barbetrieb"

## "Bewegen"
pl "Ruch"
en "Move"
de "Bewegen"

## "Bier"
pl "Piwo"
en "Beer"
de "Bier"

## "Bild1"
pl "Portret m³odego kar³a"
en "Painting of young dwarf"
de "Bild eines jungen Zwerges"

## "Bild2"
pl "Portret m³odego kar³a w czerwonej czapce"
en "Painting of dwarf with red cape"
de "Bild eines Zwerges mit rotem Umhang"

## "Bild3"
pl "Portret m³odego kar³a w niebieskiej czapce"
en "Painting of Dwarf with blue cape"
de "Bild eines Zwerges mit blauem Umhang"

## "Bild4"
pl "Portret Królewny Œnie¿ki"
en "Painting of Snow-White"
de "Bild von Schneewitchen"

## "Bild5"
pl "Portret karlego dziadka "
en "Painting of grandfather dwarf"
de "Bild vom Zwergen-Grossvater"

## "Bild6"
pl "Portret kar³a w fioletowej czapce "
en "Painting of dwarf with violet cape"
de "Bild eines Zwerges mit violettem Umhang"

## "Bild7"
pl "Portret rudego kar³a"
en "Painting of redheaded dwarf"
de "Bild eines rothaarigen Zwerges"

## "Bild8"
pl "Portret blondw³osego kar³a"
en "Painting of blonde dwarf"
de "Bild eines blonden Zwerges"

## "BitteeinenZwerganwaehlen"
pl "Proszê wybraæ kar³a"
en "please, select dwarf"
de "Bitte einen Zwerg anwählen"

## "BlockDB done"
pl "BlockDB gotowe"
en "BlockDB done"
de "BlockDB fertig"

## "BlockDB"
pl "BlockDB"
en "BlockDB"
de "BlockDB"

## "Bordell"
pl "Klub ze striptizem"
en "Brothel"
de "Bordell"

## "Bowlen"
pl "Graj w krêgle"
en "Bowl"
de "Bowlen"

## "Bowlingbahn"
pl "Krêgielnia"
en "Bowling alley"
de "Bowlingbahn"

## "Brainmaschine_Schalter"
pl "Ogromny prze³¹cznik"
en "Huge Switch"
de "Grosser Schalter"

## "Brauerei"
pl "Browar"
en "Brewery"
de "Brauerei"

## "Brightness"
pl "Jasnoœæ"
en "Brightness"
de "Helligkeit"

## "Buechse"
pl "Karabin"
en "Rifle"
de "Buechse"

## "Campaign"
pl "Kampania"
en "Campaign"
de "Kampagne"

## "Cancel"
pl "Anuluj"
en "Cancel"
de "Abbruch"

## "Child: "
pl "Dziecko: "
en "Child: "
de "Kind: "

## "Children: "
pl "Dzieci: "
en "Children: "
de "Kinder: "

## "Clan"
pl "Klan"
en "Clan"
de "Clan"

## "Clannearwarning"
pl "Klan -clanname- ostrzega ciê, abyœ siê nie zbli¿a³"
en "The clan of the -clanname- warns you to keep your distance"
de "Der Clan der -clanname- warnt Sie, nicht zu nahe zu kommen"

## "Clanstealwarning"
pl "Klan -clanname- ostrzega, abys nie krad³"
en "The clan of the -clanname- warns you not to steal"
de "Der Clan der -clanname- warnt Sie, nicht zu stehlen"

## "Clantoally"
pl "Od teraz klan -clanname- bêdzie twoim 'sojusznikiem'"
en "From now on the clan of the -clanname- is your 'ally'"
de "Der Clan der -clanname- wechselt Ihnen gegenüber zu 'verbündet'"

## "Clantoenemy"
pl "Od teraz klan -clanname- bêdzie wobec ciebie 'wrogo nastawiony'"
en "From now on the clan of the -clanname- has a 'hostile' attitude towards you"
de "Der Clan der -clanname- wechselt Ihnen gegenüber zu 'feindlich'"

## "Clantofriend"
pl "Od teraz klan -clanname- bêdzie wobec ciebie 'przyjaŸnie nastawiony'"
en "From now on the clan of the -clanname- has a 'friendly' attitude towards you"
de "Der Clan der -clanname- wechselt Ihnen gegenüber zu 'freundlich'"

## "Clantoneutral"
pl "Od teraz klan -clanname- bêdzie wobec ciebie 'neutralny'"
en "From now on the clan of the -clanname- has a 'neutral' attitude towards you"
de "Der Clan der -clanname- wechselt Ihnen gegenüber zu 'neutral'"

## "Clanwarning1"
pl "Klan -clanname- udziela ci drugiego ostrze¿enia"
en "The clan of the -clanname- gives you a second warning"
de "Der Clan der -clanname- warnt Sie ein zweites Mal"

## "Classes done"
pl "Zakoñczone kategorie"
en "Classes done"
de "Klassen geladen"

## "Classes"
pl "Kategorie"
en "Classes"
de "Klassen"

## "Classes:"
pl "Kategorie:"
en "Classes:"
de "Klassen:"

## "Click to invent."
pl "Kliknij, aby wynaleŸæ."
en "Click to invent."
de "Anklicken um zu erfinden."

## "Credits"
pl "Twórcy gry"
en "Credits"
de "Credits"

## "Cycle"
pl "Prze³¹cz"
en "Cycle"
de "Durchschalten"

## "Dampfaufzug"
pl "Winda parowa"
en "Steam lift"
de "Dampfaufzug"

## "Dampfhammer"
pl "M³ot parowy"
en "Steam Hammer"
de "Dampfhammer"

## "Dampflore"
pl "Pojazd parowy"
en "Strean lorry"
de "Dampflore"

## "Dampfmaschine"
pl "Silnik parowy"
en "Steam engine"
de "Dampfmaschine"

## "Database:"
pl "Baza danych: "
en "Database:"
de "Datenbank:"

## "Delete"
pl "Skasuj"
en "Delete"
de "Löschen"

## "Desktop"
pl "Ekran"
en "Desktop"
de "Desktop"

## "Dimensionstor"
pl "Brama ponadprzestrzenna"
en "Dimension gate"
de "Dimensionstor"

## "Disco"
pl "Klub nocny"
en "Night club"
de "Disco"

## "Dojo"
pl "Dojo"
en "Dojo"
de "Dojo"

## "Dolch_2"
pl "Chichot"
en "Stichling"
de "Stichling"

## "Drache"
pl "Smok"
en "Dragon"
de "Drache"

## "Drachen_Ei"
pl "Smocze jajo"
en "Dragon egg"
de "Drachenei"

## "Drachen_Ei_1"
pl "Smocze jajo"
en "Dragon egg"
de "Drachenei"

## "Dreherei"
pl "Obrabiarka"
en "Turner"
de "Dreherei"

## "Eierbecher"
pl "Pojemnik na jajka"
en "Eggcup"
de "Eierbecher"

## "Einsiedler"
pl "Pustelnik"
en "Hermit"
de "Einsiedler"

## "Eisen"
pl "¯elazo"
en "Iron"
de "Eisen"

## "Eisen_"
pl "¯elazo"
en "Iron"
de "Eisen"

## "Eisenerz"
pl "Ruda ¿elaza"
en "Iron ore"
de "Eisenerz"

## "Eisenerzbrocken"
pl "Kawa³ek rudy ¿elaza"
en "Iron ore boulder"
de "Eisenerzbrocken"

## "Eisenwand"
pl "¯elazna œciana"
en "Iron wall"
de "Eisenwand"

## "ElfenFluegelA"
pl "Skrzyd³o olbrzymiej wró¿ki"
en "giant fairy wing"
de "Riesenelfenflügel"

## "ElfenFluegelB"
pl "Skrzyd³o olbrzymiej wró¿ki"
en "giant fairy wing"
de "Riesenelfenflügel"

## "ElfenFluegelC"
pl "Skrzyd³o olbrzymiej wró¿ki"
en "giant fairy wing"
de "Riesenelfenflügel"

## "ElfenFluegelD"
pl "Skrzyd³o olbrzymiej wró¿ki"
en "giant fairy wing"
de "Riesenelfenflügel"

## "Energie"
pl "Energia"
en "Energy"
de "Energie"

## "Energie&Chemie"
pl "Energia i Chemia"
en "Energy&Chemistry"
de "Energie&Chemie"

## "Energie_"
pl "Energia"
en "Energy"
de "Energie"

## "Energie__"
pl "Energia"
en "Energy"
de "Energie"

## "Energie___"
pl "Energia"
en "Energy"
de "Energie"

## "Energyclass"
pl "Kategoria energii"
en "Energy category"
de "Energieklasse"

## "Energyload"
pl "obecnie wykorzystywana energia:"
en "presently used energy:"
de "momentan verbrauchte Energie:"

## "Energystore:"
pl "dostêpna energia:"
en "energy available:"
de "vorhandene Energie:"

## "Ern."
pl "Syt."
en "Nut."
de "Ern."

## "Ernährung"
pl "Sytoœæ"
en "Nutrition"
de "Ernährung"

## "Essgrillhamster"
pl "Sma¿ony chomik"
en "Grilled hamster"
de "Essgrillhamster"

## "Family"
pl "Rodzina"
en "Family"
de "Familie"

## "Farm"
pl "Farma"
en "Farm"
de "Farm"

## "Father: "
pl "Ojciec: "
en "Father: "
de "Vater: "

## "Fee"
pl "Wró¿ka"
en "Fairy"
de "Fee"

## "FenrisFuss"
pl "£apa Fenrisa"
en "Fenris foot"
de "Fenris Fuss"

## "FenrisFuss"
pl "£apa Fenrisa"
en "Fenris foot"
de "Fenris Fuss"

## "Fenris_Krug"
pl "Kufel"
en "mug"
de "Krug"

## "Fenris_Stoepsel"
pl "£añcuch"
en "chain"
de "Kette"

## "Fenris_Stuhl"
pl "Siedzisko Fenrisa"
en "Fenris' chair"
de "Fenris' Stuhl"

## "Fenris_greifen"
pl "Fenris"
en "Fenris"
de "Fenris"

## "Feuerstelle"
pl "Ognisko"
en "Fireplace"
de "Feuerstelle"

## "Fight"
pl "Walka"
en "Fight"
de "Kampf"

## "Fightinit done"
pl "System walki gotowy"
en "Combatsystem done"
de "Kampfsystem fertig"

## "Finder mode"
pl "Tryb szukania"
en "Finder mode"
de "Finder-Modus"

## "Fitnessstudio"
pl "Fitness-club"
en "Gym"
de "Fitnessstudio"

## "Fresspflanze"
pl "Miêso¿erna roœlina"
en "Carnivorous plant"
de "Fresspflanze"

## "Fruchtbarkeitstrank"
pl "Mikstura p³odnoœci"
en "Potion of Fertility"
de "Fruchtbarkeitstrank"

## "Fuchsschwanz"
pl "Pi³a rêczna"
en "Handsaw"
de "Fuchsschwanz"

## "Game Paused"
pl "Gra zatrzymana"
en "Game Paused"
de "Pause"

## "Game options"
pl "Ustawienia gry"
en "Game settings"
de "Spieleinstellungen"

## "Gamma"
pl "Gamma"
en "Gamma correction"
de "Gammakorrektur"

## "Gamma correction"
pl "Gamma"
en "Gamma correction"
de "Gammakorrektur"

## "GehirngroessePos0"
pl "Indiañska m¹droœæ"
en "Indian Wisdom"
de "Indische Weisheiten"

## "GehirngroessePos1"
pl "Samoocena poprzez Jogê"
en "A Better Understanding Through Yoga"
de "Mehr Begreifen mit Yoga"

## "GehirngroessePos2"
pl "Æwiczenia w medytacji"
en "Meditation Excersises"
de "Meditationsübungen"

## "GehirngroessePos3"
pl "Chomiki i kar³y"
en "Of Hamsters and Men"
de "Mal nachgedacht!"

## "GehirngroessePos4"
pl "O starych"
en "Knowledge of the Old Folks"
de "Das Wissen der Alten"

## "Ges."
pl "Zdr."
en "Hea."
de "Ges."

## "Gesundheit"
pl "Zdrowie"
en "Health"
de "Gesundheit"

## "Gleipnir"
pl "Gleipnir"
en "Gleipnir"
de "Gleipnir"

## "GleipnirHammer"
pl "M³ot Gleipnir"
en "Gleipnir Hammer"
de "Magischer Schmiedehammer"

## "GleipnirHammer_1"
pl "M³ot Gleipnir"
en "Gleipnir Hammer"
de "Gleipnir Hammer"

## "Gnomes"
pl "Kar³y"
en "Dwarves"
de "Zwerge"

## "Go !"
pl "Zacznij!"
en "Go !"
de "Start"

## "Go to main menu"
pl "PrzejdŸ do menu g³ównego"
en "Switch to main menu"
de "Zum Hauptmenü wechseln"

## "Einschalten"
pl "w³¹cz"
en "switch on"
de "Einschalten"

## "Ausschalten"
pl "wy³¹cz"
en "switch off"
de "Ausschalten"

## "Gold"
pl "Z³oto"
en "Gold"
de "Gold"

## "Golderz"
pl "Ruda z³ota"
en "Gold ore"
de "Golderz"

## "Golderzbrocken"
pl "Z³oty samorodek"
en "Gold ore boulder"
de "Golderzbrocken"

## "Gourmetsuppe"
pl "Zupa smakosza"
en "Gourmet soup"
de "Gourmetsuppe"

## "Gourmetsuppe_"
pl "Zupa smakosza"
en "Gourmet soup"
de "Gourmetsuppe"

## "Gourmetsuppe__"
pl "Zupa smakosza"
en "Gourmet soup"
de "Gourmetsuppe"

## "Gourmetsuppe___"
pl "Zupa smakosza"
en "Gourmet soup"
de "Gourmetsuppe"

## "Grabstein"
pl "Nagrobek"
en "Tombstone"
de "Grabstein"

## "Grenzstein"
pl "Kamieñ graniczny"
en "Boundary stone"
de "Grenzstein"

## "Grillhamster"
pl "Sma¿ony chomik"
en "Grilled hamster"
de "Grillhamster"

## "Grillhamster_"
pl "Sma¿ony chomik"
en "Grilled hamster"
de "Grillhamster"

## "Grillhamster__"
pl "Sma¿ony chomik"
en "Grilled hamster"
de "Grillhamster"

## "Grillhamster___"
pl "Sma¿ony chomik"
en "Grilled hamster"
de "Grillhamster"

## "Grillpilz"
pl "Sma¿ony grzyb"
en "Grilled Fungus"
de "Grillpilz"

## "Grillpilz_"
pl "Sma¿ony grzyb"
en "Grilled Fungus"
de "Grillpilz"

## "Grillpilz__"
pl "Sma¿ony grzyb"
en "Grilled Fungus"
de "Grillpilz"

## "Grillpilz___"
pl "Sma¿ony grzyb"
en "Grilled Fungus"
de "Grillpilz"

## "Grosse_Holzkiepe"
pl "Du¿y kosz"
en "big pannier"
de "große Holzkiepe"

## "Grosser_Heiltrank"
pl "Du¿a mikstura lecznicza "
en "Large Healing Potion"
de "Grosser Heiltrank"

## "HP:%d AL:%d NU:%d MO:%d"
pl "PZ:%1%% CZ:%2%% SY:%3%% NA:%4%%"
en "HP:%1%% AL:%2%% NU:%3%% MO:%4%%"
de "Ges:%1%% Ern:%3%% Auf:%2%% Sti:%4%% "

## "Hammer"
pl "M³ot"
en "Hammer"
de "Hammer"

## "Hamster"
pl "Chomik"
en "Hamster"
de "Hamster"

## "Hamsterkarren"
pl "Wózek dla chomika "
en "Hamster cart"
de "Hamsterkarren"

## "Hamstershake"
pl "Koktajl z chomika"
en "Hamster shake"
de "Hamstershake"

## "Hamstershake_"
pl "Koktajl z chomika"
en "Hamster shake"
de "Hamstershake"

## "Hamstershake__"
pl "Koktajl z chomika"
en "Hamster shake"
de "Hamstershake"

## "Hamstershake___"
pl "koktajl z chomika"
en "Hamster shake"
de "Hamstershake"

## "Hauklotz"
pl "Kloc do r¹bania"
en "Log"
de "Hauklotz"

## "Heiltrank"
pl "Mikstura lecznicza"
en "Healing Potion"
de "Heiltrank"

## "Hellebarde"
pl "Halabarda"
en "Halberd"
de "Hellebarde"

## "Help"
pl "Pomoc"
en "Help"
de "Hilfe"

## "Hide subtitles"
pl "Napisy: wy³¹czone"
en "Hide subtitles"
de "Ohne Untertitel"

## "Hochofen"
pl "Du¿y piec"
en "Furnace"
de "Hochofen"

## "Holz"
pl "Drewno"
en "Wood"
de "Holz"

## "HolzPos0"
pl "Technologia obróbki drewna"
en "Wood Processing Techniques"
de "Moderne Spanbehandlung"

## "HolzPos1"
pl "Drewniana bi¿uteria?"
en "Wooden Jewelery?"
de "Schmuck aus Holzsplitter"

## "HolzPos2"
pl "Encyklopedia grzybów"
en "Encyclopedia of Mushroom Strains"
de "Enzyklopädie der Pilzstämme"

## "HolzPos3"
pl "Grzyby egzotyczne"
en "Exotic Mushroom Strains"
de "Exotische Pilzstämme"

## "HolzPos4"
pl "Jak r¹baæ grzyby"
en "How to Chop Mushrooms"
de "Pilzfällvorschriften"

## "Holzkiepe"
pl "Kosz"
en "Pannier"
de "Holzkiepe"

## "Holztuer"
pl "Drewniane drzwi"
en "Wooden Door"
de "Holztür"

## "Holzwand"
pl "Drewniana œciana"
en "Wooden wall"
de "Holzwand"

## "Host game"
pl "ProwadŸ grê"
en "Host game"
de "Spiel einleiten"

## "Hoverboard"
pl "Szybowiec"
en "Hoverboard"
de "Hoverboard"

## "Huge"
pl "Du¿y"
en "Large"
de "Groß"

## "Icon precache"
pl "Buforowanie ikon"
en "Icon precache"
de "Icons puffern"

## "Idle"
pl "bez roboty"
en "idle"
de "arbeitslos"

## "Industriebad"
pl "£azienka ery przemys³owej"
en "Industrial bathroom"
de "Industriebad"

## "Industriekueche"
pl "Kuchnia ery przemys³owej "
en "Industrial Kitchen"
de "Industrieküche"

## "Industrieschlafzimmer"
pl "Sypialnia ery przemys³owej"
en "Industrial bedroom"
de "Industrieschlafzimmer"

## "Industriewohnzimmer"
pl "Salon ery przemys³owej"
en "Industrial living room"
de "Industriewohnzimmer"

## "Init..."
pl "Inicjalizacja..."
en "Init..."
de "Initialisierung..."

## "Input Options"
pl "Opcje sterowania"
en "Input options"
de "Eingabeoptionen"

## "Introduction"
pl "Wprowadzenie"
en "Introduction"
de "Einführung"

## "Invention"
pl "Wynalazek"
en "Invention"
de "Erfindung"

## "Invention:"
pl "Wynalazek:"
en "Invention:"
de "Erfindung:"

## "Inventory"
pl "Inwentarz"
en "Inventory"
de "Inventory"

## "Jungbrunnentrank"
pl "Fontanna m³odoœci"
en "Potion of Youth"
de "Trank der Jugend"

## "Kampf"
pl "Walka"
en "Fight"
de "Kampf"

## "Kampfkunst"
pl "Sztuki walki"
en "Martial art"
de "Kampfkunst"

## "Karte"
pl "Mapa"
en "Map"
de "Karte"

## "Kettensaege"
pl "Pi³a ³añcuchowa"
en "Chainsaw"
de "Kettensäge"

## "Keule"
pl "Maczuga"
en "Club"
de "Keule"

## "Kinder"
pl "Dzieci"
en "Children"
de "Kinder"

## "Kippen"
pl "Przechylenie"
en "Tilt"
de "Kippen"

## "Kleiner_Heiltrank"
pl "Ma³a mikstura lecznicza "
en "Small Healing Potion"
de "Kleiner Heiltrank"

## "Kohle"
pl "Wêgiel"
en "Coal"
de "Kohle"

## "Kohlebrocken"
pl "Kawa³ wêgla"
en "Chunk of coal"
de "Kohlebrocken"

## "Krake"
pl "Oœmiornica"
en "Octopus"
de "Krake"

## "Krankenhaus"
pl "Szpital"
en "Hospital"
de "Krankenhaus"

## "Kristall"
pl "Kryszta³"
en "Crystal"
de "Kristall"

## "Kristallaufzug"
pl "Kryszta³owa winda"
en "Crystal elevator"
de "Kristallaufzug"

## "Kristallbrut"
pl "Pomiot"
en "Spawn"
de "Brut"

## "Kristallerz"
pl "Ruda kryszta³u"
en "Crystal ore"
de "Kristallerz"

## "Kristallerzbrocken"
pl "Kawa³ek rudy kryszta³u"
en "Crystal ore boulder"
de "Kristallerzbrocken"

## "Kristallschild"
pl "Kryszta³owa tarcza"
en "Crystal shield"
de "Kristallschild"

## "Kristallschmiede"
pl "KuŸnia kryszta³ów"
en "Crystal Forge"
de "Kristallschmiede"

## "Kristallstrahl"
pl "Kryszta³owy promieñ"
en "Crystal beam"
de "Kristallstrahl"

## "Kristalltuer"
pl "Kryszta³owe drzwi"
en "Crystal Door"
de "Kristalltür"

## "Kristallwand"
pl "Kryszta³owa œciana"
en "Crystal Wall"
de "Kristallwand"

## "Krumsaebel"
pl "Bu³at"
en "Scimitar"
de "Krumsäbel"

## "Kungfu"
pl "Kung Fu"
en "Kungfu"
de "Kungfu"

## "KungfuPos0"
pl "Techniki dalekowschodnie "
en "Far Eastern Techniques"
de "Fernöstliche Taktiken"

## "KungfuPos1"
pl "Tai Chi i dalej"
en "Tai Chi and More"
de "Taichi und Nebenwirkungen"

## "KungfuPos2"
pl "Skuteczne ciosy karate "
en "Efficient Karate Chops"
de "Handkante links und rechts"

## "KungfuPos3"
pl "Znaczenie kolorystycznych oznaczeñ pasów"
en "The Meaning of Belt Colors"
de "Bedeutung der Gürtelfarben"

## "KungfuPos4"
pl "Poza nokaut"
en "Beyond the K.O."
de "Wege zum Knockout"

## "LGInit done"
pl "Generator Œwiata gotowy"
en "Worldgenerator done"
de "Weltgenerator fertig"

## "LMB:"
pl "LPM:"
en "LMB:"
de "LMB:"

## "Labor"
pl "Laboratorium"
en "Laboratory"
de "Labor"

## "Lager"
pl "Sk³ad"
en "Store"
de "Lager"

## "Language"
pl "PL"
en "English"
de "German"

## "Lanze_1"
pl "Lanca"
en "Lance"
de "Lanze"

## "Lanze_2"
pl "Lanca"
en "Lance"
de "Lanze"

## "Laseremitter"
pl "Dziwne œwiat³o"
en "Strange Light"
de "Seltsames Licht"

## "Last workplace: "
pl "Poprzednie miejsce pracy: "
en "Last workplace: "
de "Letzter Arbeitsplatz: "

## "Laufrad"
pl "Elektrownia chomicza"
en "Wheel"
de "Laufrad"

## "Laufradhamster"
pl "Chomik energetyczny"
en "Wheel hamster"
de "Laufradhamster"

## "Lava"
pl "Lawa"
en "Lava"
de "Lava"

## "Lava_Hammer_Stein"
pl "M³ot w kamieniu"
en "Hammer stuck in stone"
de "Hammer in Stein"

## "Lavabrut"
pl "Pomiot"
en "Spawn"
de "Brut"

## "Leiter"
pl "Drabina"
en "Ladder"
de "Leiter"

## "Leiter_Kristall"
pl "Kryszta³owa drabina"
en "Crystal ladder"
de "Kristallleiter"

## "Leiter_Metall"
pl "Metalowa drabina"
en "Metal ladder"
de "Metallleiter"

## "Lichtschwert"
pl "Miecz œwietlny"
en "Lightsword"
de "Lichtschwert"

## "Liebestrank"
pl "Misktura mi³oœci"
en "Aphrodisiac"
de "Liebestrank"

## "Load Game"
pl "Wczytaj grê"
en "Load Game"
de "Spiel laden"

## "Load game"
pl "Wczytaj grê"
en "Load game"
de "Spiel laden"

## "Load saved game"
pl "Wczytaj zapisan¹ grê"
en "Load saved game"
de "Gespeichertes Spiel laden"

## "Load"
pl "Wczytaj"
en "Load"
de "Laden"

## "Loading"
pl "Wczytywanie"
en "Loading"
de "Laden"

## "Lorenwaggon"
pl "Wóz transportowy"
en "Lorry wagon"
de "Lorenwaggon"

## "Lupe"
pl "Powiêkszenie obrazu"
en "Zoom"
de "Lupe"

## "Luxusbad"
pl "Luksusowa ³azienka "
en "Deluxe Bath"
de "Luxusbad"

## "Luxuskueche"
pl "Luksusowa kuchnia"
en "Deluxe kitchen"
de "Luxusküche"

## "Luxusschlafzimmer"
pl "Luksusowa sypialnia"
en "Deluxe bedroom"
de "Luxusschlafzimmer"

## "Luxuswohnzimmer"
pl "Luksusowy salon "
en "Deluxe Living Room"
de "Luxuswohnzimmer"

## "MMB/CTRL:"
pl "ŒPM/CTRL:"
en "MMB/CTRL:"
de "MMB/Strg:"

## "Main Menu"
pl "Menu g³ówne "
en "Main menu"
de "Hauptmenü"

## "Main menu"
pl "Menu g³ówne"
en "Main menu"
de "Hauptmenü"

## "Map PosHash"
pl "Mapowanie PosHash"
en "Map PosHash"
de "Map PosHash"

## "Map create"
pl "Tworzenie mapy"
en "Map create"
de "Map anlegen"

## "Map done"
pl "Mapa gotowa"
en "Map done"
de "Map fertig"

## "Material:"
pl "Materia³:"
en "Material:"
de "Material:"

## "Medium"
pl "Œredni"
en "Medium"
de "Mittel"

## "Metalle"
pl "Metale"
en "Metals"
de "Metalle"

## "MetallePos0"
pl "Tablice przetapiania"
en "Melting Tables"
de "Schmelztabellen"

## "MetallePos1"
pl "Gotowanie i palenie"
en "Boiling and Burning"
de "Sieden und Verkoksen"

## "MetallePos2"
pl "Ciê¿sze gatunki metalu"
en "Heavy Metal"
de "Walzen und Strecken"

## "MetallePos3"
pl "Jak unikn¹æ poparzeñ "
en "How to Avoid Flying Sparks"
de "Funkenflugvermeidung"

## "MetallePos4"
pl "Nity rz¹dz¹!"
en "Rivets Rock!"
de "Nietverbindungen"

## "Metallschild"
pl "Metalowa tarcza"
en "Metal shield"
de "Metallschild"

## "Metalltuer"
pl "Metalowe drzwi"
en "Metal Door"
de "Metalltür"

## "Mine"
pl "Mina"
en "Mine"
de "Mine"

## "Mittelalterbad"
pl "Œredniowieczna ³azienka"
en "Medieval bathroom"
de "Mittelalterbad"

## "Mittelalterkueche"
pl "Œredniowieczna kuchnia"
en "Medival Kitchen"
de "Mittelalterküche"

## "Mittelalterschlafzimmer"
pl "Œredniowieczna sypialnia"
en "Medieval bedroom"
de "Mittelalterschlafzimmer"

## "Mittelalterwohnzimmer"
pl "Œredniowieczny salon"
en "Medieval living room"
de "Mittelalterwohnzimmer"

## "Modus"
pl "Tryb"
en "Mode"
de "Modus"

## "Moebeltischlerei"
pl "Warsztat meblarski"
en "Furniture Joinery"
de "Moebeltischlerei"

## "Mother: "
pl "Matka: "
en "Mother: "
